Tasas de homicidio de la ONUDD el año más reciente.​​​ >> País,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Tasa,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Conteo,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Región,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Subregión,Tasas de homicidio de la ONUDD el año más reciente.​​​ >> Año del dato
Paraguay,"6,6",481,América,Sudamérica,2016
Perú,"8,3",2716,América,Sudamérica,2020
Surinam,"5,5",31,América,Sudamérica,2017
Uruguay,"9,3",326,América,Sudamérica,2020
Venezuela,"45,6",11891,América,Sudamérica,2020
Kazajistán,"5,0",915,Asia,Asia Central,2017
Kirguistán,"4,2",256,Asia,Asia Central,2017
Tayikistán,"1,5",126,Asia,Asia Central,2011
Turkmenistán,"4,2",203,Asia,Asia Central,2006
Uzbekistán,"1,1",363,Asia,Asia Central,2017
China,"0,6",7990,Asia,Asia Oriental,2017
Taiwán,"0,8",192,Asia,Asia Oriental,2015
Corea del Norte,"4,4",1110,Asia,Asia Oriental,2015
Corea del Sur,"0,6",301,Asia,Asia Oriental,2017
Hong Kong,"0,3",24,Asia,Asia Oriental,2017
Japón,"0,2",306,Asia,Asia Oriental,2017
Macao,"0,3",2,Asia,Asia Oriental,2017
Mongolia,"6,2",191,Asia,Asia Oriental,2017
Birmania (Myanmar),"2,3",1198,Asia,Sudeste de Asia,2016
Brunéi,"0,5",2,Asia,Sudeste de Asia,2013
Camboya,"1,8",268,Asia,Sudeste de Asia,2011
Filipinas,"8,4",8826,Asia,Sudeste de Asia,2017
Indonesia,"0,4",1150,Asia,Sudeste de Asia,2017
Laos,"7,0",467,Asia,Sudeste de Asia,2015
Malasia,"2,1",627,Asia,Sudeste de Asia,2013
Singapur,"0,2",11,Asia,Sudeste de Asia,2017
Tailandia,"3,2",2229,Asia,Sudeste de Asia,2016
Timor Oriental,"3,9",49,Asia,Sudeste de Asia,2015
Vietnam,"1,5",1358,Asia,Sudeste de Asia,2011
Afganistán,"7,1",2515,Asia,Sur de Asia,2017
Bangladés,"2,2",3549,Asia,Sur de Asia,2017
Bután,"1,6",13,Asia,Sur de Asia,2017
India,"3,2",42678,Asia,Sur de Asia,2016
Irán,"2,5",1936,Asia,Sur de Asia,2014
Maldivas,"0,8",3,Asia,Sur de Asia,2013
Nepal,"2,2",627,Asia,Sur de Asia,2016
Pakistán,"4,2",8235,Asia,Sur de Asia,2017
Sri Lanka,"2,3",486,Asia,Sur de Asia,2017
Arabia Saudí,"1,3",419,Asia,Oeste de Asia,2017
Armenia,"2,4",70,Asia,Oeste de Asia,2017
Azerbaiyán,"2,0",201,Asia,Oeste de Asia,2017
Baréin,"0,5",7,Asia,Oeste de Asia,2014
Catar,"0,4",9,Asia,Oeste de Asia,2014
Chipre,"0,6",7,Asia,Oeste de Asia,2017
Emiratos Árabes Unidos,"0,5",44,Asia,Oeste de Asia,2017
Irak,"9,9",3339,Asia,Oeste de Asia,2013
Israel,"1,4",110,Asia,Oeste de Asia,2015
Jordania,"1,4",133,Asia,Oeste de Asia,2017
Kuwait,"1,8",61,Asia,Oeste de Asia,2012
Líbano,4,235,Asia,Oeste de Asia,2016
Omán,"0,5",24,Asia,Oeste de Asia,2017
Palestina (Autoridad Nacional Palestina),"0,7",33,Asia,Oeste de Asia,2016
Siria,"2,2",463,Asia,Oeste de Asia,2010
Yemen,"6,7",1703,Asia,Oeste de Asia,2013
Bielorrusia,"3,6",340,Europa,Europa Oriental,2014
Bulgaria,"1,5",103,Europa,Europa Oriental,2017
Eslovaquia,"1,5",80,Europa,Europa Oriental,2017
Georgia,1,39,Europa,Europa Oriental,2016
Hungría,"2,5",242,Europa,Europa Oriental,2017
Moldavia,"3,2",130,Europa,Europa Oriental,2014
Polonia,"0,8",287,Europa,Europa Oriental,2017
República Checa,"0,6",66,Europa,Europa Oriental,2017
Rumanía,"1,5",286,Europa,Europa Oriental,2017
Rusia,"8,2",11 964,Europa,Europa Oriental,2018
Ucrania,"6,2",2751,Europa,Europa Oriental,2017
Dinamarca,"1,2",71,Europa,Europa del Norte,2017
Estonia,"2,2",29,Europa,Europa del Norte,2017
Finlandia,"1,2",69,Europa,Europa del Norte,2017
Islandia,"0,9",3,Europa,Europa del Norte,2017
Irlanda,"0,9",41,Europa,Europa del Norte,2017
Letonia,"4,2",81,Europa,Europa del Norte,2017
Lituania,"4,5",129,Europa,Europa del Norte,2017
Noruega,"0,5",28,Europa,Europa del Norte,2017
Reino Unido,"1,2",803,Europa,Europa del Norte,2017
Suecia,"1,1",113,Europa,Europa del Norte,2017
Albania,"2,3",68,Europa,Sur de Europa,
Andorra,"0,0",0,Europa,Sur de Europa,
Bosnia y Herzegovina,"1,2",42,Europa,Sur de Europa,
Croacia,"1,1",46,Europa,Sur de Europa,
Eslovenia,"0,9",19,Europa,Sur de Europa,
España,"0,7",307,Europa,Sur de Europa,
Grecia,"0,7",82,Europa,Sur de Europa,
Italia,"0,7",400,Europa,Sur de Europa,
Malta,"0,9",4,Europa,Sur de Europa,
Montenegro,"2,4",15,Europa,Sur de Europa,
Portugal,"0,7",76,Europa,Sur de Europa,
República de Macedonia,"1,5",31,Europa,Sur de Europa,
Serbia,"1,1",94,Europa,Sur de Europa,
Turquía,"2,4",2084,Europa,Sur de Europa,
Alemania,"1,0",813,Europa,Europa Occidental,
Austria,"0,7",57,Europa,Europa Occidental,
Bélgica,"1,7",193,Europa,Europa Occidental,
Francia,"1,3",824,Europa,Europa Occidental,
Liechtenstein,"0,0",0,Europa,Europa Occidental,
Luxemburgo,"0,3",2,Europa,Europa Occidental,
Mónaco,"0,0",0,Europa,Europa Occidental,
Países Bajos,"0,8",132,Europa,Europa Occidental,
Suiza,"0,5",45,Europa,Europa Occidental,
Australia,"0,8",203,Oceanía,Australasia,
Fiyi,"2,3",20,Oceanía,Melanesia,
Islas Salomón,"3,8",19,Oceanía,Melanesia,
Nueva Zelanda,"0,7",35,Oceanía,Australasia,
Papúa Nueva Guinea,"7,9",520,Oceanía,Melanesia,
Vanuatu,"2,1",6,Oceanía,Melanesia,
Guam,"2,5",4,Oceanía,Micronesia,
Kiribati,"7,5",8,Oceanía,Micronesia,
Micronesia,"4,7",5,Oceanía,Micronesia,
Nauru,"0,0",0,Oceanía,Micronesia,
Palaos,"3,1",1,Oceanía,Micronesia,
Polinesia Francesa,"0,4",1,Oceanía,Polinesia,
Samoa,"3,2",6,Oceanía,Polinesia,
Tonga,1,1,Oceanía,Polinesia,
